Months,Distribution Chosen,p,40%,50%,60%,m1,m2,m3,Year,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December
Jan,Normal,0.52547,7254.2671,8077.1579,8900.0487,8077.1579,10550001.64,0.27602,1,8675.22166,11760.9512,6489.79579,10311.7698,47157.3415,91126.1442,15540.8115,7557.05359,4714.30448,11426.8559,5242.6621,14220.5792,321.1379698,376.8842688,579.788981,949.0084235,1121.589329,1911.870971,2272.565719,2228.062238,2078.718967,1381.853657,1361.422031,1039.663653,13862.32123,12536.61468,11698.65899,12719.78371,14308.69083,16404.20569,16344.34412,15899.20333,13250.19686,10861.64456,12036.85395,13136.16711
Feb,gev,0.11052,7808.4385,8634.5406,9518.0475,9071.7596,12468175.58,0.89574,2,5284.50162,13450.5657,9628.39329,8159.88484,23825.8823,32315.3111,36948.8216,22406.3831,10466.1866,5676.08672,4213.83196,23276.3278,Average Evaporation (acre-ft),,,,,,,,,,,,Average Release (cfs),,,,,,,,,,,
Mar,gev,0.065012,9115.0372,10106.5124,11194.297,10889.6736,21271553.93,1.4264,3,10690.0491,9996.28836,13598.5924,6328.78773,43091.6563,64438.9239,11990.0681,1581.22157,10689.1559,15929.642,8835.80986,8923.94545,,,,,,,,,,,,,,,,,,,,,,,,
Apr,gev,0.40539,11584.2657,13233.9258,15133.68,15552.8857,96967168.42,1.556,4,8480.75295,7459.3621,5841.10758,9291.75477,51392.5167,23851.4291,7163.2708,7393.06957,7454.43817,7980.13139,5250.74866,4878.94441,,,,,,,,,,,,,,,,,,,,,,,,
May,Gamma,0.27907,23855.8594,28098.4704,32822.8853,31804.4842,362308557.7,1.4449,5,7931.7281,10666.1291,7592.9269,15931.0058,7500.27519,59029.0152,26686.1625,10283.9716,9098.10562,5945.29471,9973.65447,7554.38808,,,,,,,,,,,,,,,,,,,,,,,,
Jun,gev,0.029262,29302.6629,34290.2793,39703.3393,37656.6028,497763393.8,0.82648,6,9511.26109,5086.87004,12177.0917,11271.7437,98072.7763,23088.6549,18266.1908,14159.5837,19781.7092,5005.73295,4970.76656,6455.42852,,,,,,,,,,,,,,,,,,,,,,,,
Jul,LogNormal,0.34469,9642.9782,12070.1848,15108.3366,17874.6958,381186675.7,1.8246,7,11226.7515,5253.43918,15836.2979,22473.581,41958.0869,20647.3975,12576.5495,5206.34937,13613.2683,4547.95946,10029.0122,9242.81267,,,,,,,,,,,,,,,,,,,,,,,,
Aug,gev,0.32389,6769.7858,7872.5917,9113.9987,9077.1604,33109371.54,1.3244,8,10737.4683,11354.2556,4503.73154,26048.1978,28756.6731,32013.5959,24588.6946,2670.18947,9808.72238,7511.77071,8822.35673,10729.7691,,,,,,,,,,,,,,,,,,,,,,,,
Sep,gev,0.021889,7076.4446,7984.4261,8987.9638,8776.0656,18924327.81,1.7085,9,11226.7515,5527.35565,8130.35583,21479.2056,16447.4953,72932.5565,10745.4483,7270.89923,3559.70342,10532.9487,9860.25596,7898.97164,,,,,,,,,,,,,,,,,,,,,,,,
Oct,gev,0.060769,7619.4505,8547.5818,9588.7604,9521.0198,22646466.06,3.9099,10,3227.1558,4789.1844,5748.91371,17456.2449,10962.022,22823.495,5087.45087,6025.09045,5093.78679,11837.4661,8898.67636,9178.82457,,,,,,,,,,,,,,,,,,,,,,,,
Nov,gev,0.075845,7884.8601,8718.9358,9608.3156,9136.7289,12501544.83,0.87613,11,8342.41493,8368.14899,11474.6497,23753.3461,45285.9431,45240.5037,7975.86313,7360.0587,3535.24938,17927.4077,17022.9098,3969.22597,,,,,,,,,,,,,,,,,,,,,,,,
Dec,gev,0.35232,6975.7513,7810.7411,8694.6447,8172.569,12064330.19,0.56641,12,9996.48312,8282.49869,5193.23177,14002.5461,39634.0504,40019.5861,6642.37249,19109.5475,2476.13623,17045.9651,10630.3755,10609.068,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,13,12056.6393,9069.7152,8381.79789,19729.359,32547.0357,39951.0071,28368.8857,8146.38385,5149.47789,5711.43599,10683.64,6148.16374,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,14,4595.62079,12313.0213,15776.9361,14785.7127,29059.4065,32900.4123,49486.6703,16370.2329,9646.99387,11891.1038,5863.85158,7858.66852,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,6357.19781,10706.6142,13762.6728,33411.4852,39939.288,41344.0786,7527.99885,14487.4027,5711.85058,5425.01508,20004.0158,5811.84357,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,16,3044.51668,12144.4068,10823.2805,19809.3619,22791.9242,15146.1968,15564.8609,16375.1393,1493.68566,9082.12719,13629.4414,3895.64432,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,17,9758.51277,10951.5107,7168.967,19924.0718,63104.8416,23226.3296,17386.7415,5469.20014,17379.354,5358.16202,8454.78175,15477.1339,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,1850.74829,14288.4372,1998.53959,9859.65591,20001.7361,45041.6444,1235.08084,13207.3524,6283.97606,7190.33433,8350.93424,8507.42277,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,19,5276.84803,6473.9903,7126.05206,12239.5899,32264.9516,25255.7776,9007.08099,15930.0217,5299.31989,11001.6363,10811.8577,10214.9684,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,20,3297.45119,5574.81872,14950.6316,27347.1601,33470.9834,30565.8998,7550.68592,6693.09976,10346.8493,9061.61385,9173.4362,5599.2014,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,4590.44533,11233.6768,12974.6799,10465.2895,23884.5648,38076.0505,42797.5555,11184.713,5757.69278,10447.6733,14710.7146,14398.9552,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,22,13296.6902,3889.98376,12378.1872,12299.1023,24451.7331,45549.15,42978.7418,2615.1988,3023.37458,14643.1013,10863.3422,9516.60932,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,23,8348.77763,6778.87249,16903.9265,12880.9596,23070.9739,63717.6667,10223.8489,19941.8995,4103.74168,11894.7247,13218.4677,3001.45025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,4018.3202,13855.0165,11822.5223,18527.3508,39479.4613,25939.5878,4267.48264,6978.6671,14215.1303,6591.06285,8935.43475,14536.4574,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,25,13434.0879,8198.95452,14609.4537,3892.82176,53997.7765,31746.5316,17268.6638,5865.73645,10666.1825,6190.41876,6316.73352,3163.13768,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,26,5450.90973,8944.21939,8577.88557,6000.96723,6323.7627,23372.0711,5681.0963,4445.78032,7384.46167,9696.7454,4967.73189,13124.6446,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,27,3752.80276,4678.3836,11207.7223,17441.2823,19556.9584,15032.5093,27200.2843,5037.88697,11713.6944,4001.50824,5652.98715,5588.30454,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,28,11608.405,13193.9224,8256.50424,10635.1906,10249.4633,34808.5092,1803.04485,8011.9871,7915.85108,12999.9468,6758.86354,10481.8739,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,29,9129.28863,10393.9367,7721.49338,50961.9223,12279.6424,58005.7309,15030.1593,11794.1789,8389.57717,8020.34128,4705.28665,8503.28126,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,30,7243.68677,10955.0074,8456.25152,5938.27934,42066.667,24788.3018,15645.7787,8366.98309,5618.77113,16657.9003,9493.4598,8178.47454,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,30days Inflow Synthetic (From Uniform Distribution to inverse cdf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,