,Month,1,2,3,4,5,6,7,8,9,10,11,12,Cov,µ,σ,ρ(1 year)
,Observed Monthly (cfs):,8077,9050,10882,15495,31804,37723,17161,9074,8768,9531,9105,8170,14396699.54,14577.7,5705.960947,0.442186369
,Fraction every month:,0.0462,0.0518,0.0622,0.0886,0.1819,0.2158,0.0982,0.0519,0.0501,0.0545,0.0521,0.0467,,,,
Year,Average Yearly (cfs):,Average Monthly With Fractions,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,
1,20375.8,11083,13748,14931,21971,43641,53488,23547,12452,12432,13078,12910,11211,,,,
2,10415.7,5665,7028,7632,11231,22308,27342,12037,6365,6355,6685,6599,5731,,,,
3,11603.2,6311,7829,8503,12511,24852,30459,13409,7091,7080,7447,7352,6384,,,,
4,13914.5,7569,9389,10196,15004,29802,36527,16080,8503,8490,8931,8816,7656,,,,
5,16704.9,9086,11271,12241,18012,35778,43851,19305,10208,10192,10722,10584,9191,,,,
6,15902.9,8650,10730,11653,17148,34061,41746,18378,9718,9703,10207,10076,8750,,,,
7,15261.7,8301,10297,11184,16456,32687,40063,17637,9326,9312,9795,9670,8397,,,,
8,13007.2,7075,8776,9531,14025,27859,34145,15032,7949,7936,8348,8241,7156,,,,
9,20307.2,11046,13702,14881,21897,43494,53308,23468,12410,12390,13034,12866,11173,,,,
10,13420.5,7300,9055,9834,14471,28744,35230,15509,8201,8188,8614,8503,7384,,,,
11,17315.9,9419,11684,12689,18671,37087,45455,20011,10582,10565,11114,10971,9527,,,,
12,11681.4,6354,7882,8560,12596,25019,30665,13500,7138,7127,7498,7401,6427,,,,
13,6743.3,3668,4550,4941,7271,14443,17702,7793,4121,4114,4328,4273,3710,,,,
14,13811.6,7513,9319,10121,14893,29581,36256,15961,8440,8427,8865,8751,7599,,,,
15,19605.4,10664,13228,14367,21140,41991,51465,22657,11981,11962,12583,12422,10787,,,,
16,17813.6,9689,12019,13054,19208,38153,46762,20586,10886,10869,11433,11287,9801,,,,
17,8743.7,4756,5900,6407,9428,18727,22953,10105,5343,5335,5612,5540,4811,,,,
18,16979.7,9236,11457,12443,18309,36367,44573,19623,10376,10360,10898,10758,9342,,,,
19,27541.3,14981,18583,20182,29697,58988,72298,31828,16830,16804,17677,17450,15153,,,,
20,28861.3,15699,19474,21149,31120,61815,75763,33354,17637,17610,18524,18286,15879,,,,
21,24763.7,13470,16709,18147,26702,53038,65006,28618,15133,15109,15894,15690,13625,,,,
22,26081.7,14187,17598,19112,28123,55861,68466,30141,15938,15914,16740,16525,14350,,,,
23,17008.5,9251,11476,12464,18340,36429,44648,19656,10394,10378,10917,10776,9358,,,,
24,10469,5694,7064,7672,11288,22422,27482,12099,6398,6388,6719,6633,5760,,,,
25,7534.2,4098,5084,5521,8124,16137,19778,8707,4604,4597,4836,4774,4145,,,,
26,7041,3830,4751,5160,7592,15080,18483,8137,4303,4296,4519,4461,3874,,,,
27,10709.3,5825,7226,7848,11547,22937,28113,12376,6544,6534,6874,6785,5892,,,,
28,10247.8,5574,6914,7509,11050,21949,26901,11843,6262,6253,6577,6493,5638,,,,
29,19664.3,10696,13268,14410,21203,42117,51620,22725,12017,11998,12621,12459,10819,,,,
30,10060.2,5472,6788,7372,10848,21547,26409,11626,6148,6138,6457,6374,5535,,,,
31,21144,11501,14266,15494,22799,45286,55504,24435,12921,12901,13571,13397,11633,,,,
32,14747,8021,9950,10806,15901,31585,38712,17042,9012,8998,9465,9344,8114,,,,
33,23622.5,12849,15939,17310,25471,50594,62010,27299,14436,14413,15162,14967,12997,,,,
34,18174,9885,12262,13318,19596,38925,47708,21003,11106,11089,11665,11515,9999,,,,
35,16743.8,9108,11298,12270,18054,35862,43953,19350,10232,10216,10747,10609,9212,,,,
36,10121.2,5505,6829,7417,10913,21677,26569,11697,6185,6175,6496,6413,5569,,,,
37,9107.9,4954,6145,6674,9821,19507,23909,10526,5566,5557,5846,5771,5011,,,,
38,5098.8,2773,3440,3736,5498,10921,13385,5892,3116,3111,3273,3231,2805,,,,
39,8465.4,4605,5712,6203,9128,18131,22222,9783,5173,5165,5433,5364,4658,,,,
40,7892.1,4293,5325,5783,8510,16903,20717,9120,4823,4815,5065,5000,4342,,,,
41,16215.9,8820,10941,11883,17485,34731,42568,18740,9909,9894,10408,10274,8922,,,,
42,12866,6998,8681,9428,13873,27556,33774,14869,7862,7850,8258,8152,7079,,,,
43,10633.7,5784,7175,7792,11466,22775,27914,12289,6498,6488,6825,6737,5851,,,,
44,16547.6,9001,11165,12126,17843,35441,43439,19123,10112,10096,10621,10484,9104,,,,
45,13404.7,7291,9045,9823,14454,28710,35188,15491,8192,8179,8604,8493,7375,,,,
46,11955.2,6503,8066,8761,12891,25605,31383,13816,7306,7294,7673,7575,6578,,,,
47,21753.9,11833,14678,15941,23457,46592,57105,25140,13294,13273,13962,13783,11969,,,,
48,7062.7,3842,4765,5175,7615,15127,18540,8162,4316,4309,4533,4475,3886,,,,
49,7935.6,4316,5354,5815,8557,16996,20831,9171,4849,4842,5093,5028,4366,,,,
50,13268.9,7217,8953,9723,14307,28419,34832,15334,8109,8096,8516,8407,7300,,,,
51,13113.8,7133,8848,9610,14140,28087,34425,15155,8014,8001,8417,8309,7215,,,,
Disaggredation from Fractions,,7929,9836,10682,15719,31222,38267,16847,8908,8895,9357,9236,8021,,,,
Observed Average Monthly Inflow,,8077,9050,10882,15495,31804,37723,17161,9074,8768,9531,9105,8170,,,,
Error: Observed - Disaggredation = 0.0448%,,-148,786,-199,223,-582,544,-314,-166,126,-174,131,-150,,,,
,,31,28,31,30,31,30,31,31,30,31,30,31,,,,